rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,Java,CS-Notes,117153,38112,Java,https://github.com/CyC2018/CS-Notes,CyC2018,52,2020-12-10T06:45:51Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计、Java、Python、C++
2,Java,JavaGuide,93810,32448,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,32,2020-12-15T16:29:51Z,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
3,Java,java-design-patterns,62530,19890,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,239,2020-12-13T15:35:38Z,Design patterns implemented in Java
4,Java,LeetCodeAnimation,61572,11725,Java,https://github.com/MisterBooo/LeetCodeAnimation,MisterBooo,8,2020-09-30T01:43:30Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
5,Java,elasticsearch,52719,18535,Java,https://github.com/elastic/elasticsearch,elastic,3058,2020-12-18T01:31:51Z,"Open Source, Distributed, RESTful Search Engine"
6,Java,spring-boot,52362,32297,Java,https://github.com/spring-projects/spring-boot,spring-projects,496,2020-12-17T15:45:13Z,Spring Boot
7,Java,interviews,49229,10422,Java,https://github.com/kdn251/interviews,kdn251,85,2020-12-11T21:38:11Z,Everything you need to know to get the job.
8,Java,mall,44650,19146,Java,https://github.com/macrozheng/mall,macrozheng,26,2020-12-17T04:25:07Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
9,Java,RxJava,43900,7307,Java,https://github.com/ReactiveX/RxJava,ReactiveX,12,2020-12-15T07:59:03Z,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.
10,Java,spring-framework,40675,28074,Java,https://github.com/spring-projects/spring-framework,spring-projects,1198,2020-12-18T00:59:47Z,Spring Framework
11,Java,retrofit,37150,6746,Java,https://github.com/square/retrofit,square,130,2020-12-11T00:28:10Z,A type-safe HTTP client for Android and the JVM
12,Java,dubbo,34284,22739,Java,https://github.com/apache/dubbo,apache,938,2020-12-17T02:14:00Z,"Apache Dubbo is a high-performance, java based, open source RPC framework."
13,Java,Java,32912,11409,Java,https://github.com/TheAlgorithms/Java,TheAlgorithms,764,2020-12-14T09:15:53Z,All Algorithms implemented in Java
14,Java,lottie-android,30273,4841,Java,https://github.com/airbnb/lottie-android,airbnb,39,2020-12-06T20:42:06Z,"Render After Effects animations natively on Android and iOS, Web, and React Native"
15,Java,GitHub-Chinese-Top-Charts,27075,3780,Java,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,kon9chunkit,84,2020-12-14T07:51:29Z,:cn: GitHub中文排行榜，帮助你发现高分优秀中文项目、更高效地吸收国人的优秀经验成果；榜单每周更新一次，敬请关注！
16,Java,zxing,26785,8873,Java,https://github.com/zxing/zxing,zxing,8,2020-12-09T17:29:13Z,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android"
17,Java,JCSprout,25570,6984,Java,https://github.com/crossoverJie/JCSprout,crossoverJie,38,2020-10-12T18:43:36Z,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm "
18,Java,proxyee-down,25559,4666,Java,https://github.com/proxyee-down-org/proxyee-down,proxyee-down-org,211,2020-08-11T09:34:25Z,http下载工具，基于http代理，支持多连接分块下载
19,Java,butterknife,25544,4747,Java,https://github.com/JakeWharton/butterknife,JakeWharton,113,2020-09-04T02:00:13Z,Bind Android views and callbacks to fields and methods.
20,Java,netty,25514,12357,Java,https://github.com/netty/netty,netty,472,2020-12-17T18:07:39Z,Netty project - an event-driven asynchronous network application framework
21,Java,jadx,24506,2981,Java,https://github.com/skylot/jadx,skylot,144,2020-12-16T16:12:13Z,Dex to Java decompiler
22,Java,spring-boot-examples,24377,10882,Java,https://github.com/ityouknow/spring-boot-examples,ityouknow,5,2020-12-15T13:16:16Z,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
23,Java,tutorials,24100,38604,Java,https://github.com/eugenp/tutorials,eugenp,30,2020-12-17T16:10:52Z,"Just Announced - ""Learn Spring Security OAuth"": "
24,Java,arthas,24057,5252,Java,https://github.com/alibaba/arthas,alibaba,173,2020-12-17T09:53:18Z,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas
25,Java,ghidra,23278,3178,Java,https://github.com/NationalSecurityAgency/ghidra,NationalSecurityAgency,1064,2020-12-17T18:59:25Z,Ghidra is a software reverse engineering (SRE) framework
26,Java,apollo,23209,8512,Java,https://github.com/ctripcorp/apollo,ctripcorp,165,2020-12-13T13:57:49Z,Apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。
27,Java,EventBus,23046,4555,Java,https://github.com/greenrobot/EventBus,greenrobot,136,2020-03-04T03:28:27Z,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality."
28,Java,druid,22942,7528,Java,https://github.com/alibaba/druid,alibaba,1899,2020-12-16T15:01:12Z,阿里巴巴计算平台事业部出品，为监控而生的数据库连接池
29,Java,fastjson,22798,6077,Java,https://github.com/alibaba/fastjson,alibaba,1534,2020-12-09T19:04:41Z,A fast JSON parser/generator for Java.  
30,Java,hello-algorithm,22628,4301,Java,https://github.com/geekxh/hello-algorithm,geekxh,1,2020-11-20T05:49:43Z,🌍「算法面试+算法知识」针对小白的算法训练 | 还包括：1、阿里、字节、滴滴 百篇大厂面经汇总 2、千本开源电子书  3、百张思维导图 （右侧来个 star 吧 🌹，English version supported）
31,Java,SmartRefreshLayout,21919,4520,Java,https://github.com/scwang90/SmartRefreshLayout,scwang90,120,2020-10-18T13:28:09Z,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。
32,Java,BaseRecyclerViewAdapterHelper,21221,4520,Java,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,CymChad,296,2020-12-09T05:59:59Z,BRVAH:Powerful and flexible RecyclerAdapter
33,Java,Hystrix,20783,4252,Java,https://github.com/Netflix/Hystrix,Netflix,382,2020-11-02T23:53:36Z,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable."
34,Java,spring-boot-demo,19702,6815,Java,https://github.com/xkcoding/spring-boot-demo,xkcoding,69,2020-12-12T08:48:38Z,该项目已成功集成 actuator(监控)、admin(可视化监控)、logback(日志)、aopLog(通过AOP记录web请求日志)、统一异常处理(json级别和页面级别)、freemarker(模板引擎)、thymeleaf(模板引擎)、Beetl(模板引擎)、Enjoy(模板引擎)、JdbcTemplate(通用JDBC操作数据库)、JPA(强大的ORM框架)、mybatis(强大的ORM框架)、通用Mapper(快速操作Mybatis)、PageHelper(通用的Mybatis分页插件)、mybatis-plus(快速操作Mybatis)、BeetlSQL(强大的ORM框架)、upload(本地文件上传和七牛云文件上传)、redis(缓存)、ehcache(缓存)、email(发送各种类型邮件)、task(基础定时任务)、quartz(动态管理定时任务)、xxl-job(分布式定时任务)、swagger(API接口管理测试)、security(基于RBAC的动态权限认证)、SpringSession(Session共享)、Zookeeper(结合AOP实现分布式锁)、RabbitMQ(消息队列)、Kafka(消息队列)、websocket(服务端推送监控服务器运行信息)、socket.io(聊天室)、ureport2(中国式报表)、打包成war文件、集成 ElasticSearch(基本操作和高级查询)、Async(异步任务)、集成Dubbo(采用官方的starter)、MongoDB(文档数据库)、neo4j(图数据库)、docker(容器化)、JPA多数据源、Mybatis多数据源、代码生成器、GrayLog(日志收集)、JustAuth(第三方登录)、LDAP(增删改查)、动态添加/切换数据源、单机限流(AOP + Guava RateLimiter)、分布式限流(AOP + Redis + Lua)、ElasticSearch 7.x(使用官方 Rest High Level Client)、HTTPS、Flyway(数据库初始化)、UReport2(中国式复杂报表)。
35,Java,vhr,19664,8276,Java,https://github.com/lenve/vhr,lenve,152,2020-12-18T01:33:13Z,微人事是一个前后端分离的人力资源管理系统，项目采用SpringBoot+Vue开发。
36,Java,selenium,19339,6084,Java,https://github.com/SeleniumHQ/selenium,SeleniumHQ,345,2020-12-17T23:04:01Z,A browser automation framework and ecosystem.
37,Java,RxAndroid,19245,2985,Java,https://github.com/ReactiveX/RxAndroid,ReactiveX,0,2020-09-30T18:52:56Z,RxJava bindings for Android
38,Java,toBeTopJavaer,19023,4343,Java,https://github.com/hollischuang/toBeTopJavaer,hollischuang,24,2020-12-15T10:24:21Z,To Be Top Javaer - Java工程师成神之路
39,Java,gson,18934,3665,Java,https://github.com/google/gson,google,623,2020-12-11T21:03:16Z,A Java serialization/deserialization library to convert Java Objects into JSON and back
40,Java,seata,18160,5350,Java,https://github.com/seata/seata,seata,495,2020-12-17T13:54:39Z,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution."
41,Java,easyexcel,18123,4792,Java,https://github.com/alibaba/easyexcel,alibaba,174,2020-12-17T01:32:14Z,快速、简单避免OOM的java处理Excel工具
42,Java,jeecg-boot,17886,6872,Java,https://github.com/zhangdaiscott/jeecg-boot,zhangdaiscott,37,2020-12-17T08:55:42Z,基于代码生成器的低代码平台，超越传统商业平台！前后端分离架构SpringBoot 2.x，SpringCloud，Ant Design&Vue，Mybatis-plus，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新低代码开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高开发效率，帮助公司节省成本，同时又不失灵活性。
43,Java,libgdx,17821,6091,Java,https://github.com/libgdx/libgdx,libgdx,191,2020-12-18T00:40:36Z,Desktop/Android/HTML5/iOS Java game development framework
44,Java,picasso,17777,4007,Java,https://github.com/square/picasso,square,211,2020-11-02T17:08:54Z,A powerful image downloading and caching library for Android
45,Java,kafka,17585,9385,Java,https://github.com/apache/kafka,apache,773,2020-12-18T01:16:45Z,Mirror of Apache Kafka
46,Java,miaosha,17522,4406,Java,https://github.com/qiurunze123/miaosha,qiurunze123,38,2020-12-15T04:18:30Z,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓
47,Java,halo,17515,6024,Java,https://github.com/halo-dev/halo,halo-dev,80,2020-12-16T08:44:33Z,✍  An excellent open source blog publishing application. | 一个优秀的开源博客发布应用。
48,Java,PhotoView,17350,3789,Java,https://github.com/chrisbanes/PhotoView,chrisbanes,163,2020-09-09T22:30:59Z,"Implementation of ImageView for Android that supports zooming, by various touch gestures."
49,Java,dbeaver,17143,1541,Java,https://github.com/dbeaver/dbeaver,dbeaver,1214,2020-12-17T20:35:11Z,Free universal database tool and SQL client
50,Java,hutool,17139,5170,Java,https://github.com/looly/hutool,looly,3,2020-12-17T12:22:30Z,A set of tools that keep Java sweet.
51,Java,ExoPlayer,16926,5027,Java,https://github.com/google/ExoPlayer,google,468,2020-12-17T11:44:19Z,An extensible media player for Android
52,Java,spring-cloud-alibaba,16912,5079,Java,https://github.com/alibaba/spring-cloud-alibaba,alibaba,319,2020-12-15T07:24:14Z,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.
53,Java,Android-Universal-Image-Loader,16768,6290,Java,https://github.com/nostra13/Android-Universal-Image-Loader,nostra13,437,2020-04-06T21:07:32Z,"Powerful and flexible library for loading, caching and displaying images on Android."
